,RandomForest,Dense,CNN,RNN,LSTM,GRU
DUSSELDORF,1.0,0.9976034760475159,0.9901960492134094,0.9749455451965332,0.9840958714485168,0.9960784316062927
MAASTRICHT,1.0,0.9943355321884155,0.9862744808197021,0.9732025861740112,0.9901960492134094,0.9904139637947083
BASEL,1.0,0.9882352948188782,0.9904139637947083,0.972113311290741,0.9821350574493408,0.9873638153076172
